,제목,아티스트,앨범명,가온지수
0,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",다시 여기 바닷가,"65,416,458"
1,마리아 (Maria),화사(Hwa Sa),Mara,"40,754,044"
2,How You Like That,BLACKPINK,How You Like That,"36,064,809"
3,여름 안에서 (Covered By 싹쓰리) (Feat. 황광희),"싹쓰리 (유두래곤, 린다G, 비룡)",여름 안에서 (Covered By 싹쓰리),"33,443,456"
4,Summer Hate (Feat. 비),지코 (ZICO),RANDOM BOX,"33,217,348"
5,Downtown Baby,블루 (BLOO),Downtown Baby,"27,750,714"
6,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU),에잇,"25,761,299"
7,보라빛 밤 (pporappippam),선미,보라빛 밤 (pporappippam),"24,856,750"
8,아로하,조정석,슬기로운 의사생활 OST Part 3,"22,835,061"
9,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,"20,717,054"
10,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP,"20,257,668"
11,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11,"18,380,155"
12,Into the I-LAND,아이유 (IU),I-LAND Part.1 Signal Song,"17,761,292"
13,Memories,Maroon 5,Memories,"17,199,388"
14,Dance Monkey,Tones And I,Dance Monkey,"16,250,958"
15,Monster,레드벨벳-아이린&슬기,Monster - The 1st Mini Album,"15,617,693"
16,PLAY (Feat. 창모),청하,PLAY,"15,446,463"
17,어떻게 지내,오반 (OVAN),어떻게 지내,"15,370,365"
18,MORE & MORE,TWICE,MORE & MORE,"15,255,381"
19,홀로,이하이,홀로,"15,039,653"
20,METEOR,창모 (CHANGMO),Boyhood,"14,937,643"
21,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,"14,596,035"
22,Blueming,아이유 (IU),Love poem,"14,514,519"
23,Don`t Start Now,Dua Lipa,Don`t Start Now,"14,295,383"
24,아무노래 ,지코 (ZICO),아무노래 ,"14,171,360"
25,처음처럼,엠씨더맥스 (M.C The Max),CEREMONIA,"12,639,801"
26,좋은 사람 있으면 소개시켜줘,조이,슬기로운 의사생활 OST Part 2,"12,605,849"
27,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",악동뮤지션 (AKMU),항해,"12,473,124"
28,나비와 고양이 (Feat. 백현 (BAEKHYUN)),볼빨간사춘기,나비와 고양이,"12,163,207"
29,시작,가호 (Gaho),이태원 클라쓰 OST Part.2,"12,156,393"
30,2002,Anne-Marie,Speak Your Mind (Deluxe),"12,078,410"
31,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,"11,673,136"
